Mean,Std,Max,Min,Kurtosis,Skewness,RMS,AmplitudeRange,PeakFactor,ZeroCrossings,AnomalyLabel
-1.2668647886808946,-0.7071254058843208,-0.7157374285559956,0.7209014768174881,0.03402879862304198,0.40311082571282864,-0.7425880708781828,-0.7237957071051181,0.9867093912578719,-0.8065428396586152,0.0
-1.2013637762987492,-0.663795256147578,-0.7157374285559956,0.6570146455830855,-0.5724723014069218,-1.095584043642734,-0.6982906751831011,-0.6970539324408227,0.05776359801567194,-1.177928097340035,0.0
-1.5202206270218455,-0.7546729129095552,-0.8334880660954491,0.6570146455830855,0.7716265137600585,-2.4373216054723623,-0.7937572168309001,-0.7664865684589477,-0.29375246539525707,0.49330556222635386,0.0
-1.1170551410326008,-0.7198405280569046,-0.806573459837634,0.7199339801788112,-0.375830647262497,-1.040668269125839,-0.7525720140809627,-0.776952948115624,-0.5996470257663961,0.3540360905958215,0.0
-1.118137177462,-0.6779731468995729,-0.8040399372709253,0.7199339801788112,-1.2054239532361255,-0.8662822286125782,-0.7110510967852588,-0.7754590356078546,-1.2878437185686817,-0.6208502108179053,0.0
-1.5125067463793622,-0.645235837358726,-0.6632893516159862,0.6216805286389965,-0.6418406162185355,-0.18174557837045158,-0.6834336729026387,-0.6513373222519492,0.6738824740283511,-0.6208502108179053,0.0
-1.5226735896502996,-0.6295526296049561,-0.6632893516159862,0.6216805286389965,-0.9524197370814814,-0.3909094721347808,-0.6676933528589092,-0.6513373222519492,0.37767346817928593,-1.0386586257095025,0.0
-1.2497515475568528,-0.7443818355705897,-0.8109243630555973,0.6966489122891905,0.34253221898380437,-0.5666947856510695,-0.7794092811139756,-0.7697718213625258,-0.12217999431867077,-0.15661863871613066,0.0
-1.6797491281774306,-0.6457620505736509,-0.6229700261116695,0.6159933953887163,0.6784206369338435,-0.025085862708390465,-0.6852054226364085,-0.6251821764923585,1.3914524460128495,-0.3423112675568405,0.0
-1.5519051564082247,-0.5955025117533389,-0.6229700261116695,0.6159933953887163,-0.8224257422335388,-0.6381522985685042,-0.633529115021742,-0.6251821764923585,0.41090627488446296,-0.992235468499325,0.0
-1.352657733390425,-0.695790125426991,-0.8326368801375656,0.6255747782983387,-0.17294947150386908,-2.2504348417071043,-0.7325082538301393,-0.7528245477529687,-1.470921741356783,-0.8529659968687926,0.0
-1.0732693807310594,-0.650845502270213,-0.7464135492706695,0.6255747782983387,-0.39791930120771757,-1.2549533019007806,-0.6832798968211313,-0.7019822485225664,-0.7305928727465661,-0.9458123112891476,0.0
-1.0105438374250055,-0.6433098095570392,-0.7464135492706695,0.6930275207320685,-1.0825772227230905,-0.6806724469578613,-0.6746757756928551,-0.7302166436834929,-0.8674155571339692,-0.6208502108179053,0.0
-1.108557045998251,-0.636127250354114,-0.6904416140240253,0.5890389984346098,-0.6502313325271651,-1.0045071187615642,-0.6692029380216041,-0.6536847736446912,-0.038040576716324014,-0.5280038963975504,0.0
-1.0942099105713081,-0.6008311517015846,-0.6904416140240253,0.5890389984346098,-1.168147244618811,-1.2874456399554715,-0.6337285060016534,-0.6536847736446912,-0.605231429353667,-1.1315049401298574,0.0
-1.3010641424792362,-0.7018612261401886,-0.8268932187820742,0.6816675825508975,-0.43459644490582666,-1.2882022279170877,-0.7378533111559175,-0.7729170982124547,-1.2711463248222776,-0.01734916708559825,0.0
-1.4049320627389745,-0.6731605274409121,-0.774549280357236,0.6117963962530748,-0.37361065086220413,-0.43145601674831163,-0.7104496662905724,-0.7128053542373297,-0.7665009502063692,0.2147666189652891,0.0
-1.4548304826661282,-0.6181358042522933,-0.774549280357236,0.6117963962530748,-1.482096020712548,-0.45458248634239823,-0.6555645549402166,-0.7128053542373297,-1.5983488305237024,-0.8993891540789701,0.0
-1.756843579925767,-0.634417226254715,-0.7399268123724174,0.536497569041236,-0.8396381244538703,-0.7682600471388479,-0.674107726931947,-0.6608713176377523,-0.7691876344406778,-0.8065428396586152,0.0
-1.532328993441657,-0.5863093171500111,-0.6778997272471649,0.536497569041236,-0.980911113054524,-0.38891892321952415,-0.6240924055726749,-0.6242965345642941,-0.5592696830793116,-0.9458123112891476,0.0
-1.0576203660029595,-0.6476067288065923,-0.6778997272471649,0.6629120501125684,-0.665710200713631,-0.19873267891581192,-0.6797852169745449,-0.6772111572149319,0.3589637724676859,-0.8529659968687926,0.0
-0.9707714757229491,-0.634047024829738,-0.6964983041584814,0.5507545124838009,-0.38502523262915056,-0.880387167457371,-0.6647507707836767,-0.6412310159908386,-0.21204923755299995,-0.8065428396586152,0.0
-0.9316558019474349,-0.5905204398715642,-0.6964983041584814,0.5507545124838009,-1.0238928257568647,-1.5203662895215593,-0.6207940696259102,-0.6412310159908386,-0.8807261178943097,-0.992235468499325,0.0
-1.1712412450388505,-0.6913188256774708,-0.8235141470822691,0.667705846053209,-0.6954790013136348,-1.4893076690893425,-0.7252529959314035,-0.76508049158126,-1.4169595425299728,-0.7136965252382602,0.0
-1.182277761142458,-0.6349161913122047,-0.701679024776899,0.6167881379415389,-0.7886246675575629,-0.8774850061017422,-0.6691307513928691,-0.6719262513202485,-0.2226859402456709,-0.9458123112891476,0.0
-1.4038275861088183,-0.6184018993000415,-0.701679024776899,0.6167881379415389,-1.163612913841469,-0.7742546321442562,-0.655327105194119,-0.6719262513202485,-0.4482543543442828,-1.2243512545502124,0.0
-1.6985817540747157,-0.6698498981079447,-0.7628211798684428,0.5568568562548463,-0.377562903152962,-0.9133897116401842,-0.7096909008839649,-0.6828931688937494,-0.5688077608037434,-0.6208502108179053,0.0
